ID,GUID,Model ID,Modified,USN,Tags,Fields,Sort Field
1625474628969,Ifrj|m;FF?,1625307584571,1625474628,0,,"Staphlycoccus aureus key features&nbsp; | 1. Gram positive&nbsp;<br>2. Beta haemolytic&nbsp;<br>3. Coagulase positive&nbsp;<br>4. Mannitol positive&nbsp;<br><br><img src=""paste-fc21cefa08b07de17287c58fb5bcdc0d7b0d8985.jpg"">",Staphlycoccus aureus key features 
1625474995671,A|02IPBbb$,1625307584571,1626599686,49,,"Staphylococcus aureus symptoms&nbsp; | 1. Can cause patchy infiltrates on Chest X-ray and causes bacterial pneumonia&nbsp;<br>2. Can cause soft tissue infections like impetigo, furuncles, carbuncles and cellulitis<br>3. infective endocarditis (running camel)&nbsp;<br>4. Rapid onset food poisoning from food like mayonaise and meats contaminated by exotoxin<br>5. Septic arthritis (bandage around camel)&nbsp;<br>6. Exfoliative toxin also produced which causes scalded skin syndrome<br><br><img src=""paste-b407c1d3526d3ae77f7cd4a99c2d1ea347df5fca.jpg""><br><br>",Staphylococcus aureus symptoms 
1625475107632,H%C#KU`AW~,1625307584571,1625475107,0,,"Staphylococcus aureus toxic shock syndrome&nbsp; | Superantigen toxin which connects the MHC II with the antigen and the CD4 cell to cause fever, desquamative rash and sepsis&nbsp;<br><br><img src=""paste-300253d5352542ddfca9efe18f701aba9c43d904.jpg"">",Staphylococcus aureus toxic shock syndrome 
1625475208748,F5qKF@)bwM,1625307584571,1625475208,0,,"Staphylococcus aureus treatment&nbsp; | Nafcillin is effective against non-MRSA staph aureus (pencil)&nbsp;<br><br>Vancomycin is effective against MRSA&nbsp;<br><br><img src=""paste-a357dc7dea55740a1b1fb026b7dd59b825fb8931.jpg"">",Staphylococcus aureus treatment 
1625567866635,mHSGp];HjY,1625307584571,1625569183,2,,"Staphylococcys epidermidis features | Gram positive coccus&nbsp;<br>Susceptible to novobiocin (which is why you can see the navel)&nbsp;<br>Catalase positive&nbsp;<br>Coagulase negative<br><img src=""paste-0efece24148a53d0ed855f9025c88b06c0147dca.jpg""><br>",Staphylococcys epidermidis features
1625567926350,xr2&JbcH|;,1625307584571,1625567926,2,,Distinguishing between staphylococcus and streptococcus species&nbsp; | Catalase positive for staph&nbsp;<br><br>Catalase negative for strep&nbsp;,Distinguishing between staphylococcus and streptococcus species 
1625569170362,"vY,PU;2cq{",1625307584571,1625569170,2,,"Staphylococcus epidermidis infection&nbsp; | 1. Prosthetic joints&nbsp;<br>2. Associated with indwelling catheters&nbsp;<br>3. Can cause prosthetic valve endocarditis&nbsp;<br><br><img src=""paste-0efece24148a53d0ed855f9025c88b06c0147dca.jpg"">",Staphylococcus epidermidis infection 
1625569238793,mYG0<voKk&,1625307584571,1625569238,2,,"Difference between Staphylococus aureus and Staph epidermidis &amp; saprophyticus&nbsp; | Staph aureus - coagulase positive (moses and the red sea)&nbsp;<br><br>Staph epidermidis - coagulase negative (jello)&nbsp;<br><br><img src=""paste-0efece24148a53d0ed855f9025c88b06c0147dca.jpg"">",Difference between Staphylococus aureus and Staph epidermidis & saprophyticus 
1625569303666,F!/5:L.VP6,1625307584571,1625569303,2,,How does Staphylococcus epidermidis commonly affect prosthetic valves and IV catheters? | Produce biofilms (extracellular polysaccharide matrix)&nbsp;,How does Staphylococcus epidermidis commonly affect prosthetic valves and IV catheters?
1625569382865,sYhft|YI)D,1625307584571,1625569382,2,,"Staphylococcus saprophyticus features&nbsp; | Gram positive<br>Catalase positive&nbsp;<br>Coagulase negative&nbsp;<br>Urease positive&nbsp;<br>Novobiocin resistant&nbsp;<br><br><img src=""paste-0efece24148a53d0ed855f9025c88b06c0147dca.jpg"">",Staphylococcus saprophyticus features 
1625569432799,u*<[!Tq8D{,1625307584571,1625569432,2,,"Staphylococcus saprophyticus infections | Urinary tract infections in young sexually active females&nbsp;<br><br><img src=""paste-0efece24148a53d0ed855f9025c88b06c0147dca.jpg"">",Staphylococcus saprophyticus infections
1625569466534,Q{XaI%.f/r,1625307584571,1625569466,2,,"Treatment for staphylococcus epidermidis and saprophyticus? | Vancomycin&nbsp;<br><br><img src=""paste-0efece24148a53d0ed855f9025c88b06c0147dca.jpg"">",Treatment for staphylococcus epidermidis and saprophyticus?
1625576068303,xkmz-~F4kK,1625307584571,1625576068,2,,Staphylococcus aureus virulence factor&nbsp; | Produces protein A which binds to the Fc region of the antibody which prevents complement activation and phagocytosis&nbsp;,Staphylococcus aureus virulence factor 
1625576175352,PC7QDb.aSU,1625307584571,1625576243,2,,"Features of streptococcus pyogenes&nbsp; | 1. Gram positive&nbsp;<br>2. Beta haemolytic - hence the bulb&nbsp;<br>3. Encapsulated - the pie is encapsulated&nbsp;<br><br><img src=""paste-88300b06c67fd3938afd09160f0cc8f4d939985e.jpg"">",Features of streptococcus pyogenes 
1625576380201,ia/_fIhw{9,1625307584571,1625576402,2,,"Infection with Streptococcus pyogenes | 1. Red puffy gloves since group A strep is the most common cause of skin infections&nbsp;<br>2. Streptococcal pharyngitis - strep throat&nbsp;<br>3. Scarlet fever&nbsp;<br>4. Rheumatic fever&nbsp;<br><br><img src=""paste-88300b06c67fd3938afd09160f0cc8f4d939985e.jpg"">",Infection with Streptococcus pyogenes
1625576488267,nv7%`jIh-?,1625307584571,1625576598,2,,"In scarlet fever for Strep A, what features are there? | 1. Guy in the back licking the strawberry - strawberry tongue&nbsp;<br><br>2. Pyrogenic exotoxin which causes the fever&nbsp;<br><br>3. This exotoxin can act as a superantigen which can cause streptococcal toxic shock syndrome&nbsp;<br><br>4. SpeB causes necrotising fasciitis<br><br>5. Distribution due to the pyrogenic exotoxin is sand paper rash apart from the soles or the palms&nbsp;<br><br><br><img src=""paste-88300b06c67fd3938afd09160f0cc8f4d939985e.jpg"">","In scarlet fever for Strep A, what features are there?"
